ident,ID objet
563582,177056
563582,177059
563582,177060
563582,177064
563582,177067
563582,177097
563582,177100
563582,177135
563582,177175
563582,177186
563582,177194
563582,177325
563582,177326
563582,177354
563582,177372
563582,177395
563582,177415
563582,177422
563582,177489
563582,177492
563582,177707
563582,177743
563582,177788
563582,177791
563582,177814
563582,177815
563582,177816
563582,177819
563582,177820
563582,177822
563582,177835
563582,177836
563582,177876
563582,177877
563582,177878
563582,177879
563582,177895
563582,177896
563582,177898
563582,177899
563582,177900
563582,177901
563582,177902
563582,177903
563582,177913
563582,177999
563582,178037
563582,178042
563582,178071
563582,178072
563582,178080
563582,178081
563582,178120
563582,178122
563582,178123
563582,178127
563582,178170
563582,178353
563582,178367
563582,178385
563582,178386
563582,178390
563582,178392
563582,178398
563582,178453
563582,178620
563582,178621
563582,178631
563582,178639
563582,178654
563582,178655
563582,178656
563582,178716
563582,178718
563582,178719
563582,178720
563582,178758
563582,178777
563582,178797
563582,178800
563582,178816
563582,178817
563582,179009
563582,179010
563582,179011
563582,179012
563582,179013
563582,179014
563582,179018
563582,179082
563582,179083
563582,179084
563582,179086
563582,179087
563582,179088
563582,179089
563582,179090
563582,179121
563582,179131
563582,179142
563582,179143
563582,179171
563582,179173
563582,179175
563582,179179
563582,179204
563582,179234
563582,179235
563582,179236
563582,179275
563582,179288
563582,179289
563582,179312
563582,179313
563582,179321
563582,179329
563582,179420
563582,179424
563582,179425
563582,179432
563582,179445
563582,179463
563582,179471
563582,179472
563582,179481
563582,179492
563582,179494
563582,179497
563582,179553
563582,179578
563582,179579
563582,179587
563582,179613
563582,179614
563582,179620
563582,179630
563582,179703
563582,179705
563582,179707
563582,179714
563582,179743
563582,179811
563582,179827
563582,179833
563582,179972
563582,179973
563582,179981
563582,179982
563582,180018
563582,180024
563582,180031
563582,180040
563582,180041
563582,180042
563582,180063
563582,180079
563582,180080
563582,180086
563582,180088
563582,180149
563582,180164
563582,180173
563582,180181
563582,180207
563582,180210
563582,180217
563582,180218
563582,180239
563582,180300
563582,180301
563582,180306
563582,180316
563582,180366
563582,180387
563582,180389
563582,180411
563582,180420
563582,180421
563582,180436
563582,180438
563582,180440
563582,180446
563582,180447
563582,180468
563582,180475
563582,180510
563582,180511
563582,180521
563582,180561
563582,180611
